Accession Number	Old Classification Number	Title Stroke	Title	Author Stroke	Author	Publisher	Publication Date	Original Title	Summary	Edition	Series	Publication Place	Pages or Duration	Notes	ISBN	Cost	Last Changed	Editor	Verified	Volume	Author Number	Classification Number	Book Type	Format	Media	Translator	Usage	Cataloged Date	Charge	Language
3532		6	合 神 心 意	5	古 昂棺荽	以琳	1991	Touching the Heart of Go				台北	252		9579507295			章 啟 ?FALSE		GRU	24802				程 澄 浦	17		0		
3533	C60022	10	浸信會教義與研究信徒的祭司職份	0	"Shurden, Walter B."	Convention Press	1990	The Doctrine of the Priesthood of Believer				美國	127p			10			FALSE		SHU	238				湯 傳 哲	2		0	國 語
3534	A50011	18	轉移時代的人	7	李常受	福 音 書 房	1975					台灣	39p			10			FALSE		LEE	220.92					0		0	國 語
3535	J10014	5	台語新歌1-4合訂本	5	以琳聖樂組	以 琳	1992					台灣	600p			10			FALSE		YII	257.2					4		0	國 語
3536	A30505	8	使徒行傳	0	"Marchall,I.Howard"	校 園	1991	Tyndale New Testment Commentaries:Acts			丁 道 爾 新 約 聖 經 註 釋	台灣	402p			10			FALSE		MAR	226.507				蔣黃心湄	29		0	國 語
3537	J10013-2	13	愛家手冊	0		千代基金會	1990					台灣	169p			10		項秋萍等	FALSE		XIA	249.1					0		0	國 語
3538	E20003	11	教會藍圖 -由以弗所書看今日教會	13	楊寧亞等	華 神	1968					台灣	204p			10			FALSE		YAN	255					0		0	國 語
3539	H10017	6	危機與協談	0	"Wright, H.Norman"	學 園	1988	Crisis Counseling				台灣	240p			10			FALSE		WRI	250.3				黃淑 惠	9		0	國 語
3540	C20175	5	主啊 ， 改變我	0	"Christenson, Evelyn"	主 日 學	1992	"Lord,Change Me"				台 灣	278p			10			FALSE			248.21				周天麒	24		0	國 語
3541	00007A	7	走過外遇風暴	11	陳姳慧等	台 福	1995					美國	278p			10			FALSE	CHE	CHE	249					16		0	國 語
3542	C20062	9	活潑的盼望	19	關體仁	宣 道	1983					香港	78p			10			FALSE		KWA	248.2					1		0	國 語
3543	00001A	19	禱告的學校	0	"Murray, Andrew"	校 園	1994					台灣	224p			10			FALSE		MUR	248.21					14		0	國 語
3544	C30002-1	17	簡易祈禱法	14	蓋恩夫人	福 音書 房	1982					台 灣	68p			10			FALSE		GAI	248.21				俞 成 華	5		0	國 語
3545	00003A	5	叩門 ， 開門	0	"Neighbour,Ralph W."	高 接 觸	1994	"Knocking on Doors,Opening Hearts"				香港	157p			10			FALSE		NEI	255.4				張 麗 娟	2		0	國 語
3546	00002A	16	樹立新小組	0	"Neighbour, Ralph W.Jr."	高 接 觸	1994	"Buileing Groups, Opening Hearts"				香港	188p			10			FALSE		NEI	255.1				張 麗 娟	6		0	國 語
3547	00004A	11	細胞小組教會組長手冊	0	"Neighbour,Ralph W. Jr.& Wang,Lee Man Wang"	高 接 觸	1994	The Shepherd's Guidebook				香港	344p			10			FALSE		NEI	255.1				許 揚 怡	5		0	國 語
3548	F10060	4	中國大復興(1927-1937)	0	"Monson,Marie"	大 光	1990	The Awakening				台 灣	123			10			FALSE		MON	275.1				柯 美 玲	0		0	國 語
3549	F10059-1	17	撲向夢寐以求的故鄉	14	遠志明等	中 信	1992					美國	132p			10			FALSE		YUA	245					11		0	國 語
3550	C10003	10	起跑線上	14	臧玉芝	校 園	1986					台灣	15p			10			FALSE		ZAN	248.1094					0		0	國 語
3551	00005A	4	比馬龍	12	黃清一	校 園	1991					台灣	176p			10			FALSE		HUA	249.14					1		0	國 語
3552	00006A	3	三角架	12	黃清一	校 園	1992					台灣	206p			10			FALSE		HUA	249.14					4		0	國 語
3553	0	13	寬恕與自由	0	"Augsburger,David"	翻 譯 中 心	1979	The Freedom of Forgiveness				美國	154p			10			FALSE		AUG	248.2				黃 希 敏	4		0	國 語
3554	C20080	9	信心之路	18	魏德凱	校 園	1983					台 灣	50p			10			FALSE		WEB	243					1		0	國 語
3555	C20079	12	順服神的話	0	"Stibbs, A.M."	校 園	1980	Obeying God's Word				台灣	113p			10			FALSE		STI	248.2				陳 公 亮 等	2		0	國 語
3556	C20101	11	基督徒看「權勢」	0	"Foster, Richard J."	基 道	1988	POwer			信 念 再 思 叢 書	香 港	111p			10			FALSE		FOS	261				周 天 和	0		0	國 語
3557	A30606	19	羅馬書	11	陳終道	校 園	1987				新 約 書 信 讀 經 講 義	台 灣	320p			10			FALSE			227.107					7		0	國 語
3558	E60014	9	宣教之設計與實踐	11	陳勝政	高 中 文 字 中 心	1979					台 灣	248p			10			FALSE		CHE	255					0		0	國 語
3559	A30706-1	13	新成立的教會問題	0	"Cummings,James E."	浸 宣	1966	A Young Church Faces Doctrinal Questions				台灣	161p			10			FALSE		CUM	227.21094				李 本 實	0		0	國 語
3560	A21905-1	9	耶和華是我的牧者	15	劉怡持	夏 城 海 外 基 督 徒 團 契	1979					香港	60p			10			FALSE		LAU	223.2071					2		0	國 語
3561	C20199	11	基督徒看「性」	0	"Foster,Richard J."	基 道	1993	Sex				香港	171p.			10		.	FALSE		FOS	249.11				謝 靄 愉等	4		0	國 語
3562	A21802	11	深夜的心聲	10	唐佑之	證 道	1978					香港	75p			10			FALSE		TAN	223.107					2		0	國 語
3563	A21907	9	美詞泉湧(上)  ?12	焦源濂	校 園	1993					台灣	233p			10			FALSE	(Ⅰ )	JIA	223.207					4		0	國 語	
3564	A21904	13	萬愛之主	0	"Deane,John"	證 道	1961	The KIng of Love				香港	88p			10			FALSE		DEA	223.2071				宋 華 忠	1		0	國 語
3565	A20104	12	創造的奧秘	10	倪柝聲	基 督 徒 出 版 社	1982					香港	104p			10			FALSE		NEE	222.11071					11		0	國 語
3566	A20202	5	出埃及記研究	0	Unknown	人 光	1981					台灣	108p			10			FALSE		UNO	222.12094				0	6		0	國 語
3567	A20201	5	出埃及記自習指導	0	"Turnbull,M.Ryerson"	主 日 學	1985	Studying the Book of Exodus				台灣	102p			10			FALSE		TUR	222.12094				方 馬 明 初	4		0	國 語
3568	A22105	12	虛空與充滿	17	謝友王	種 籽	1987					香港	309p			10			FALSE		HSI	223.107					8		0	國 語
3569	A22701	13	萬王之王	0	"Wallace,Ronald S."	校 園	1981	The Lord Is King				台灣	220p			10			FALSE		WAL	224.15071				劉 良 淑	5		0	國 語
3570	A22101	13	傳道書講義	11	許公遂	宣 道	1982					香港	121p			10			FALSE		XU	223.907					3		0	國 語
3571	B60002-1	11	基督徒與敬祖-敬祖研討會彙編	5	丘恩處等	中 國 與 福 音 出 版 社	1987					台灣	176p			10			FALSE		QIU	239					3		0	國 語
3572	A22002	15	箴言乳蜜	10	徐松石	浸 信 會	1985					香港	270p			10			FALSE		XU	223.7071					8		0	國 語
3573	3030	13	雅歌(靈命之庫)	12	黃雪芬	靈 磐 書 室	1967					台灣	123p			10			FALSE		HUA	223.8071					0		0	國 語
3574	A22203	24	靈命之鑰-雅歌書之研究	13	微塵	甘 霖	1982					香港	104p			10			FALSE		WEI	223.8071					2		0	國 語
3575	A22201	13	愛的讚歌-雅歌	10	唐佑之	證 道	1979					香港	81p			10			FALSE		TAN	223.807					0		0	國 語
3576	A22104	2	丁道爾舊約聖經註釋﹕傳道書	0	"Eaton, Michael A."	校 園	1990	Tyndale Old Testament Commentaries:Ecclesiastes				台灣	182p			10			FALSE		EAT	223.907				蔡 金 玲 等	6		0	國 語
